,plate_forme,rating,nb_tokens,category_nps,category_numeric,adjs_counts,nouns_counts,pronouns_counts,prop_nouns_counts,adverbs_counts,verbs_counts,interjections_counts,symbols_counts
5394,CDISCOUNT,1,44,Détracteur,-1,5,8,4,3,3,4,0,0
5395,CDISCOUNT,1,62,Détracteur,-1,3,13,4,0,5,8,0,0
5396,CDISCOUNT,5,15,Promoteur,1,0,3,0,2,5,2,0,0
5397,CDISCOUNT,1,97,Détracteur,-1,4,9,13,1,4,11,0,0
5398,CDISCOUNT,1,62,Détracteur,-1,4,9,6,1,5,7,0,0
5399,CDISCOUNT,1,151,Détracteur,-1,8,25,12,0,11,21,0,0
5400,CDISCOUNT,1,257,Détracteur,-1,9,28,20,6,8,34,0,0
5401,CDISCOUNT,5,5,Promoteur,1,0,0,1,0,2,2,0,0
5402,CDISCOUNT,5,16,Promoteur,1,2,5,0,0,0,1,0,0
5403,CDISCOUNT,5,6,Promoteur,1,0,1,0,0,1,1,0,0
5404,CDISCOUNT,5,11,Promoteur,1,2,3,0,1,1,1,0,0
5405,CDISCOUNT,5,12,Promoteur,1,0,5,0,1,0,0,0,0
5406,CDISCOUNT,1,142,Détracteur,-1,6,28,7,3,8,17,0,0
5407,CDISCOUNT,5,8,Promoteur,1,0,0,1,0,2,2,0,0
5408,CDISCOUNT,3,9,Neutre,0,0,4,0,0,0,0,0,0
5409,CDISCOUNT,1,28,Détracteur,-1,3,5,1,1,6,3,0,0
5410,CDISCOUNT,1,116,Détracteur,-1,4,19,11,2,3,13,0,0
5411,CDISCOUNT,1,30,Détracteur,-1,2,7,0,1,2,3,0,0
5412,CDISCOUNT,1,89,Détracteur,-1,4,15,7,4,4,15,0,0
5413,CDISCOUNT,1,369,Détracteur,-1,8,51,23,0,20,46,0,0
5414,CDISCOUNT,1,67,Détracteur,-1,11,10,5,1,9,5,0,0
5415,CDISCOUNT,1,117,Détracteur,-1,6,19,10,4,8,17,0,0
5416,CDISCOUNT,1,82,Détracteur,-1,6,12,6,3,5,12,0,0
5417,CDISCOUNT,1,72,Détracteur,-1,1,13,7,1,6,7,0,0
5418,CDISCOUNT,5,7,Promoteur,1,3,2,0,0,0,0,0,0
5419,CDISCOUNT,4,25,Promoteur,1,5,4,1,0,1,3,0,0
5420,CDISCOUNT,1,148,Détracteur,-1,8,24,10,4,11,13,0,0
5421,CDISCOUNT,1,34,Détracteur,-1,1,11,2,1,5,1,0,0
5422,CDISCOUNT,5,3,Promoteur,1,0,1,0,0,1,1,0,0
5423,CDISCOUNT,1,128,Détracteur,-1,4,12,7,2,7,18,0,0
5424,CDISCOUNT,5,9,Promoteur,1,0,5,1,0,0,0,0,0
5425,CDISCOUNT,1,72,Détracteur,-1,5,6,5,3,5,9,0,0
5426,CDISCOUNT,5,5,Promoteur,1,0,0,1,0,2,2,0,0
5427,CDISCOUNT,5,3,Promoteur,1,0,0,1,1,0,1,0,0
5428,CDISCOUNT,1,41,Détracteur,-1,2,8,7,1,1,6,0,0
5429,CDISCOUNT,1,19,Détracteur,-1,2,4,0,2,4,1,0,0
5430,CDISCOUNT,1,39,Détracteur,-1,2,11,1,0,2,10,0,0
5431,CDISCOUNT,4,8,Promoteur,1,3,0,0,1,1,1,0,0
5432,CDISCOUNT,1,64,Détracteur,-1,3,10,8,3,6,8,0,0
5433,CDISCOUNT,5,24,Promoteur,1,1,6,3,0,0,2,0,0
5434,CDISCOUNT,1,83,Détracteur,-1,6,15,4,4,4,14,0,0
5435,CDISCOUNT,3,27,Neutre,0,2,6,2,2,2,2,0,0
5436,CDISCOUNT,5,24,Promoteur,1,3,9,0,0,0,1,0,0
5437,CDISCOUNT,5,2,Promoteur,1,0,0,0,0,0,1,0,0
5438,CDISCOUNT,5,42,Promoteur,1,3,9,4,1,3,2,0,0
5439,CDISCOUNT,1,139,Détracteur,-1,10,28,8,3,3,11,0,0
5440,CDISCOUNT,2,6,Détracteur,-1,1,2,0,0,1,0,0,0
5441,CDISCOUNT,5,10,Promoteur,1,1,4,0,1,1,1,0,0
5442,CDISCOUNT,5,17,Promoteur,1,1,7,1,2,0,2,0,0
5443,CDISCOUNT,5,9,Promoteur,1,1,2,0,0,1,2,0,0
5444,CDISCOUNT,1,117,Détracteur,-1,6,18,10,1,3,15,0,0
5445,CDISCOUNT,1,10,Détracteur,-1,1,3,1,0,1,1,0,0
5446,CDISCOUNT,1,77,Détracteur,-1,7,17,5,2,9,5,0,0
5447,CDISCOUNT,1,49,Détracteur,-1,1,11,5,0,4,5,0,0
5448,CDISCOUNT,5,4,Promoteur,1,0,0,1,0,0,1,0,0
5449,CDISCOUNT,3,11,Neutre,0,0,1,1,0,3,2,0,0
5450,CDISCOUNT,2,19,Détracteur,-1,1,3,2,0,4,3,0,0
5451,CDISCOUNT,1,132,Détracteur,-1,4,20,8,3,8,14,0,0
5452,CDISCOUNT,1,84,Détracteur,-1,4,16,9,3,9,11,0,0
5453,CDISCOUNT,4,17,Promoteur,1,3,2,3,0,0,3,0,0
5454,CDISCOUNT,5,2,Promoteur,1,1,0,0,0,0,1,0,0
5455,CDISCOUNT,1,18,Détracteur,-1,2,4,0,0,1,5,0,0
5456,CDISCOUNT,1,41,Détracteur,-1,3,6,4,2,4,8,0,0
5457,CDISCOUNT,5,19,Promoteur,1,1,5,3,0,1,3,0,0
5458,CDISCOUNT,1,93,Détracteur,-1,3,18,5,7,5,15,0,0
5459,CDISCOUNT,1,56,Détracteur,-1,2,5,8,2,6,9,0,0
5460,CDISCOUNT,5,3,Promoteur,1,2,0,0,0,0,0,0,0
5461,CDISCOUNT,1,139,Détracteur,-1,10,20,12,1,10,16,0,0
5462,CDISCOUNT,5,11,Promoteur,1,0,0,2,1,2,2,0,0
5463,CDISCOUNT,1,197,Détracteur,-1,10,23,19,6,14,24,0,0
5464,CDISCOUNT,1,187,Détracteur,-1,6,41,14,7,11,19,0,0
5465,CDISCOUNT,1,236,Détracteur,-1,14,36,16,2,15,26,0,0
5466,CDISCOUNT,2,73,Détracteur,-1,7,13,6,1,5,8,0,0
5467,CDISCOUNT,5,7,Promoteur,1,2,1,0,0,1,2,0,0
5468,CDISCOUNT,1,44,Détracteur,-1,3,7,2,0,4,6,0,0
5469,CDISCOUNT,1,54,Détracteur,-1,2,11,8,0,4,7,0,0
5470,CDISCOUNT,1,135,Détracteur,-1,4,20,14,5,11,16,0,0
5471,CDISCOUNT,1,141,Détracteur,-1,6,21,12,5,11,19,0,0
